"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.55:1. Recommendation: change text colour to #767676.","<a href=\"https://www.zegnagroup.com/zh/corporate-governance/\">                               ...</a>","html > body > div > div > header > div > div:nth-child(4) > ul > li:nth-child(3) > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"https://www.zegnagroup.com/zh/corporate-governance/\">                               ...</a>","html > body > div > div > header > div > div:nth-child(4) > ul > li:nth-child(3) > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__back js-subNavigation__back\" href=\"javascript:;\">Back</a>","html > body > div > div > header > nav > a:nth-child(1)"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"https://www.zegnagroup.com/it/our-road/\" class=\"navigation__link\" data-sub-navigation=\"\">Il nostro gruppo</a>","html > body > div > div > header > nav > ul > li:nth-child(1) > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/our-road/\">                               ...</a>","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(1) > a"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-our-road.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(1) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-our-road.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(1) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_3.1_3_1_A.G141","The heading structure is not logically nested. This h2 element appears to be the primary document heading, so should be an h1 element.","<h2 class=\"subNavigation__link__title\">La nostra strada</h2>","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(1) > a > h2"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h2 class=\"subNavigation__link__title\">La nostra strada</h2>","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(1) > a > h2"
"a11y","WCAG2AA.Principle1.Guideline1_3.1_3_1.H42.2","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.","<h2><a class=\"subNavigation__link\" ...</h2>","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(1) > h2"
"a11y","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/our-road/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(1) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/our-road/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(1) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/corporate-governance/\">                               ...</a>","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(2) > a"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-corporate.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(2) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-corporate.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(2) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h2 class=\"subNavigation__link__title\">Corporate Governance</h2>","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(2) > a > h2"
"a11y","WCAG2AA.Principle1.Guideline1_3.1_3_1.H42.2","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.","<h2><a class=\"subNavigation__link\" ...</h2>","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(2) > h2"
"a11y","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/corporate-governance/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(2) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/corporate-governance/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(1) > div > ul > li:nth-child(2) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"https://www.zegnagroup.com/it/our-brands/\" class=\"navigation__link\" data-sub-navigation=\"\">I nostri brand</a>","html > body > div > div > header > nav > ul > li:nth-child(2) > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/our-brands/\">                               ...</a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(1) > a"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-our-brands.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(1) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-our-brands.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(1) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h2 class=\"subNavigation__link__title\">I nostri brand</h2>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(1) > a > h2"
"a11y","WCAG2AA.Principle1.Guideline1_3.1_3_1.H42.2","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.","<h2><a class=\"subNavigation__link\" ...</h2>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(1) > h2"
"a11y","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/our-brands/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(1) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/our-brands/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(1) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/zegna/\">                               ...</a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(2) > a"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-ZEGNA-2.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(2) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-ZEGNA-2.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(2) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h2 class=\"subNavigation__link__title\">Zegna</h2>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(2) > a > h2"
"a11y","WCAG2AA.Principle1.Guideline1_3.1_3_1.H42.2","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.","<h2><a class=\"subNavigation__link\" ...</h2>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(2) > h2"
"a11y","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/zegna/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(2) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/zegna/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(2) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/thom-browne/\">                               ...</a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > a"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-TB-1.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-TB-1.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h2 class=\"subNavigation__link__title\">Thom Browne</h2>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > a > h2"
"a11y","WCAG2AA.Principle1.Guideline1_3.1_3_1.H42.2","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.","<h2><a class=\"subNavigation__link\" ...</h2>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > h2"
"a11y","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/thom-browne/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/thom-browne/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(3) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/luxury-textile-lab/\">                               ...</a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(4) > a"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-LTLP-1.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(4) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-LTLP-1.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(4) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h2 class=\"subNavigation__link__title\">Luxury Textile Laboratory Platf...</h2>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(4) > a > h2"
"a11y","WCAG2AA.Principle1.Guideline1_3.1_3_1.H42.2","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.","<h2><a class=\"subNavigation__link\" ...</h2>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(4) > h2"
"a11y","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/luxury-textile-lab/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(4) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/luxury-textile-lab/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(2) > div > ul > li:nth-child(4) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"https://www.zegnagroup.com/it/our-commitment/\" class=\"navigation__link\" data-sub-navigation=\"\">Il nostro ethos sostenibile</a>","html > body > div > div > header > nav > ul > li:nth-child(3) > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/our-commitment/\">                               ...</a>","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(1) > a"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-committment.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(1) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-committment.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(1) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h2 class=\"subNavigation__link__title\">Il nostro impegno</h2>","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(1) > a > h2"
"a11y","WCAG2AA.Principle1.Guideline1_3.1_3_1.H42.2","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.","<h2><a class=\"subNavigation__link\" ...</h2>","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(1) > h2"
"a11y","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/our-commitment/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(1) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/our-commitment/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(1) > h2 > a"
"a11y","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/our-green-soul/\">                               ...</a>","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(2) > a"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-green-soul.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(2) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img class=\"pictureElement__image \" src=\"https://www.zegnagroup.com/wp-content/uploads/2021/12/menu-green-soul.jpg?w=1440\" alt=\"\" data-pfsrc=\"?w=1536\">","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(2) > a > picture > img"
"a11y","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h2 class=\"subNavigation__link__title\">L'anima green del Gruppo Zegna</h2>","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(2) > a > h2"
"a11y","WCAG2AA.Principle1.Guideline1_3.1_3_1.H42.2","Heading tag found with no content. Text that is not intended as a heading should not be marked up with heading tags.","<h2><a class=\"subNavigation__link\" ...</h2>","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(2) > h2"
"a11y","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"subNavigation__link\" href=\"https://www.zegnagroup.com/it/our-green-soul/\">                            </a>","html > body > div > div > header > nav > ul > li:nth-child(3) > div > ul > li:nth-child(2) > h2 > a"
